ID;ACCESSION;SOURCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;genotype;organism;mol_type;isolation_source;host;country;note
2173284915;LC406536;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7099;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Hakodate""";"""genotype: 4"""
2173284911;LC406535;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7216;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284907;LC406534;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7237;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284903;LC406533;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7216;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo, Shinagawa""";"""genotype: 3"""
2173284899;LC406532;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7089;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Okayama""";"""ORF1"""
2173284895;LC406531;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7213;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kanagawa""";"""genotype: 3"""
2173284891;LC406530;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7254;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sunagawa""";"""ORF1"""
2173284887;LC406529;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7205;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Shizuoka, Hamamatsu""";"""genotype: 4"""
2173284883;LC406528;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284879;LC406527;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7255;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284875;LC406526;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7070;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Gifu""";"""genotype: 3"""
2173284871;LC406525;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7255;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284867;LC406524;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7219;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284863;LC406523;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7215;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kanagawa""";"""genotype: 3"""
2173284859;LC406522;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7219;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Chiba, Urayasu""";"""genotype: 3"""
2173284855;LC406521;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sunagawa""";"""genotype: 4"""
2173284851;LC406520;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7256;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284847;LC406519;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7088;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kanagawa""";"""genotype: 1"""
2173284843;LC406518;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7220;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""genotype: 3"""
2173284839;LC406517;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7210;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284835;LC406516;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7256;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284831;LC406515;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Osaka""";"""ORF1"""
2173284827;LC406514;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7253;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284823;LC406513;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Kitami""";"""genotype: 4"""
2173284819;LC406512;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7209;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Hakodate""";"""genotype: 4"""
2173284815;LC406511;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284811;LC406510;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7132;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284807;LC406509;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7226;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Kitami""";"""genotype: 3"""
2173284803;LC406508;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7143;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284799;LC406507;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7227;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284795;LC406506;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7215;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Hakodate""";"""genotype: 4"""
2173284791;LC406505;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7219;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Gifu""";"""genotype: 3"""
2173284787;LC406504;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284783;LC406503;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7255;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284779;LC406502;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Hakodate""";"""genotype: 4"""
2173284775;LC406501;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7209;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284771;LC406500;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7229;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284767;LC406499;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7253;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284763;LC406498;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7229;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284759;LC406497;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7209;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284755;LC406496;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7079;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kyoto""";"""ORF1"""
2173284751;LC406495;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7230;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Obihiro""";"""genotype: 4"""
2173284747;LC406494;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7234;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284743;LC406493;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7240;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""genotype: 3"""
2173284739;LC406492;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7094;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Ehime""";"""genotype: 3"""
2173284735;LC406491;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7240;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""ORF1"""
2173284731;LC406490;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284727;LC406489;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7215;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284723;LC406488;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Shizuoka""";"""genotype: 4"""
2173284719;LC406487;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Shizuoka""";"""genotype: 4"""
2173284715;LC406486;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284711;LC406485;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7240;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""ORF1"""
2173284707;LC406484;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284703;LC406483;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284699;LC406482;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Sus scrofa""";"""Japan:Aichi""";"""genotype: 4"""
2173284695;LC406481;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7216;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284691;LC406480;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7254;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284687;LC406479;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7095;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kanagawa""";"""ORF1"""
2173284683;LC406478;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7255;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sunagawa""";"""ORF1"""
2173284679;LC406477;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7086;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""ORF1"""
2173284675;LC406476;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7254;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284671;LC406475;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7242;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""ORF1"""
2173284667;LC406474;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7161;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284663;LC406473;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7228;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284659;LC406472;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7133;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284655;LC406471;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7090;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Nepal:Biratnagar""";"""genotype: 1"""
2173284651;LC406470;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7090;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Nepal:Biratnagar""";"""genotype: 1"""
2173284647;LC406469;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7090;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Nepal:Biratnagar""";"""genotype: 1"""
2173284643;LC406468;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7090;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Nepal:Biratnagar""";"""genotype: 1"""
2173284639;LC406467;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7090;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Nepal:Biratnagar""";"""genotype: 1"""
2173284437;LC406667;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Kitami""";"""genotype: 4"""
2173284433;LC406666;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284429;LC406665;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7254;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284425;LC406664;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7084;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kanagawa""";"""ORF1"""
2173284421;LC406663;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7220;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284417;LC406662;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7220;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo, Shinagawa""";"""genotype: 3"""
2173284413;LC406661;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7254;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""ORF1"""
2173284409;LC406660;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Kitami""";"""genotype: 4"""
2173284405;LC406659;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7191;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Aichi, Toyokawa""";"""genotype: 4"""
2173284401;LC406658;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7050;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo, Shinagawa""";"""genotype: 3"""
2173284397;LC406657;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7143;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284393;LC406656;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Abashiri""";"""genotype: 4"""
2173284389;LC406655;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7229;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284385;LC406654;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7217;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""genotype: 3"""
2173284381;LC406653;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7228;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284377;LC406652;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 4"""
2173284373;LC406651;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7236;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284369;LC406650;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7221;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Hokkaido, Sapporo""";"""genotype: 3"""
2173284365;LC406649;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7223;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Fukuoka, Hakata""";"""ORF1"""
2173284361;LC406648;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7183;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""genotype: 3"""
2173284357;LC406647;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi.K.
";"Subtypes of hepatitis E virus in Japan
";NA;NA;         1..7219;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Tokyo""";"""genotype: 3"""
